approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-0.5,system_12,64,74.5,74.5,10,12,300.0
BNV2-2.0,system_12,27,73.5,82.0,10,12,300.0
BNV2-4.0,system_12,16,80.5,94.0,10,12,300.0
BNV2-1.0,system_12,44,71.7,76.0,10,12,300.0
AMPL,system_12,0,62.41,0,10,12,300.0
BNV1-4.0,system_13,7,118.0,118.0,10,12,300.0
BNV1-2.0,system_13,14,88.0,88.0,10,12,300.0
BNV1-1.0,system_13,31,77.0,77.0,10,12,300.0
BNV1-0.5,system_13,64,74.5,74.5,10,12,300.0
BNV2-2.0,system_13,27,73.5,82.0,10,12,300.0
BNV2-4.0,system_13,16,80.5,94.0,10,12,300.0
BNV2-1.0,system_13,44,71.7,76.0,10,12,300.0
AMPL,system_13,0,62.41,0,10,12,300.0
BNV1-4.0,system_14,7,118.0,118.0,10,12,300.0
BNV1-2.0,system_14,14,88.0,88.0,10,12,300.0
BNV1-1.0,system_14,31,77.0,77.0,10,12,300.0
BNV1-0.5,system_14,64,74.5,74.5,10,12,300.0
BNV2-2.0,system_14,27,73.5,82.0,10,12,300.0
BNV2-4.0,system_14,16,80.5,94.0,10,12,300.0
BNV2-1.0,system_14,44,71.7,76.0,10,12,300.0
AMPL,system_14,0,62.41,0,10,12,300.0
BNV1-4.0,system_15,5,106.0,106.0,10,12,300.0
BNV1-2.0,system_15,8,72.0,72.0,10,12,300.0
BNV1-1.0,system_15,14,61.0,61.0,10,12,300.0
BNV1-0.5,system_15,30,59.0,59.0,10,12,300.0
BNV2-2.0,system_15,16,53.8,64.0,10,12,300.0
BNV2-4.0,system_15,11,62.7,78.0,10,12,300.0
BNV2-1.0,system_15,22,55.1,59.0,10,12,300.0
AMPL,system_15,0,49.72,0,10,12,300.0
BNV1-4.0,system_16,5,106.0,106.0,10,12,300.0
BNV1-2.0,system_16,8,72.0,72.0,10,12,300.0
BNV1-1.0,system_16,14,61.0,61.0,10,12,300.0
BNV1-0.5,system_16,30,59.0,59.0,10,12,300.0
BNV2-2.0,system_16,16,53.8,64.0,10,12,300.0
BNV2-4.0,system_16,11,62.7,78.0,10,12,300.0
BNV2-1.0,system_16,22,55.1,59.0,10,12,300.0
AMPL,system_16,0,49.72,0,10,12,300.0
BNV1-4.0,system_17,6,138.0,138.0,10,12,300.0
