approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV2-1.0,system_57,59,125.1,127.0,10,12,300.0
AMPL,system_57,0,113.00,0,10,12,300.0
BNV1-4.0,system_58,4,86.0,86.0,10,12,300.0
BNV1-2.0,system_58,12,68.0,68.0,10,12,300.0
BNV1-1.0,system_58,22,62.0,62.0,10,12,300.0
BNV1-0.5,system_58,43,61.0,61.0,10,12,300.0
BNV2-2.0,system_58,18,60.6,66.0,10,12,300.0
BNV2-4.0,system_58,9,69.1,82.0,10,12,300.0
BNV2-1.0,system_58,32,57.7,62.0,10,12,300.0
AMPL,system_58,0,55.75,0,10,12,300.0
BNV1-4.0,system_59,4,86.0,86.0,10,12,300.0
BNV1-2.0,system_59,12,68.0,68.0,10,12,300.0
BNV1-1.0,system_59,22,62.0,62.0,10,12,300.0
BNV1-0.5,system_59,43,61.0,61.0,10,12,300.0
BNV2-2.0,system_59,18,60.6,66.0,10,12,300.0
BNV2-4.0,system_59,9,69.1,82.0,10,12,300.0
BNV2-1.0,system_59,32,57.6,62.0,10,12,300.0
AMPL,system_59,0,55.75,0,10,12,300.0
BNV1-4.0,system_60,35,250.0,250.0,10,12,300.0
BNV1-2.0,system_60,86,240.0,240.0,10,12,300.0
BNV1-1.0,system_60,184,239.0,239.0,10,12,300.0
BNV1-0.5,system_60,375,238.7,238.7,10,12,300.0
BNV2-2.0,system_60,111,232.3,242.0,10,12,300.0
BNV2-4.0,system_60,53,234.3,246.0,10,12,300.0
BNV2-1.0,system_60,202,231.9,240.0,10,12,300.0
AMPL,system_60,0,222.91,0,10,12,300.0
BNV1-4.0,system_61,35,250.0,250.0,10,12,300.0
BNV1-2.0,system_61,86,240.0,240.0,10,12,300.0
BNV1-1.0,system_61,184,239.0,239.0,10,12,300.0
BNV1-0.5,system_61,375,238.7,238.7,10,12,300.0
BNV2-2.0,system_61,111,232.3,242.0,10,12,300.0
BNV2-4.0,system_61,53,234.3,246.0,10,12,300.0
BNV2-1.0,system_61,202,231.9,240.0,10,12,300.0
AMPL,system_61,0,222.91,0,10,12,300.0
BNV1-4.0,system_62,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_62,13,90.0,90.0,10,12,300.0
BNV1-1.0,system_62,36,88.0,88.0,10,12,300.0
BNV1-0.5,system_62,72,88.1,88.1,10,12,300.0
BNV2-2.0,system_62,25,84.0,92.0,10,12,300.0
BNV2-4.0,system_62,14,90.3,102.0,10,12,300.0
BNV2-1.0,system_62,48,84.7,89.0,10,12,300.0
AMPL,system_62,0,79.01,0,10,12,300.0
BNV1-4.0,system_63,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_63,13,90.0,90.0,10,12,300.0
BNV1-1.0,system_63,36,88.0,88.0,10,12,300.0
BNV1-0.5,system_63,72,88.1,88.1,10,12,300.0
BNV2-2.0,system_63,25,84.0,92.0,10,12,300.0
BNV2-4.0,system_63,14,90.3,102.0,10,12,300.0
BNV2-1.0,system_63,48,84.7,89.0,10,12,300.0
AMPL,system_63,0,79.01,0,10,12,300.0
BNV1-4.0,system_64,5,102.0,102.0,10,12,300.0
BNV1-2.0,system_64,13,76.0,76.0,10,12,300.0
BNV1-1.0,system_64,34,71.0,71.0,10,12,300.0
BNV1-0.5,system_64,71,71.0,70.9,10,12,300.0
BNV2-2.0,system_64,21,68.6,74.0,10,12,300.0
BNV2-4.0,system_64,14,68.9,86.0,10,12,300.0
BNV2-1.0,system_64,40,68.6,71.0,10,12,300.0
AMPL,system_64,0,59.85,0,10,12,300.0
BNV1-4.0,system_65,13,122.0,122.0,10,12,300.0
BNV1-2.0,system_65,37,120.0,120.0,10,12,300.0
BNV1-1.0,system_65,80,118.0,118.0,10,12,300.0
BNV1-0.5,system_65,170,118.6,118.6,10,12,300.0
BNV2-2.0,system_65,46,117.5,120.0,10,12,300.0
BNV2-4.0,system_65,24,122.0,126.0,10,12,300.0
BNV2-1.0,system_65,85,116.5,118.0,10,12,300.0
AMPL,system_65,0,102.39,0,10,12,300.0
BNV1-4.0,system_66,13,122.0,122.0,10,12,300.0
BNV1-2.0,system_66,37,120.0,120.0,10,12,300.0
BNV1-1.0,system_66,80,118.0,118.0,10,12,300.0
BNV1-0.5,system_66,170,118.6,118.6,10,12,300.0
BNV2-2.0,system_66,46,117.5,120.0,10,12,300.0
BNV2-4.0,system_66,24,122.0,126.0,10,12,300.0
BNV2-1.0,system_66,85,116.5,118.0,10,12,300.0
AMPL,system_66,0,102.39,0,10,12,300.0
BNV1-4.0,system_67,9,142.0,142.0,10,12,300.0
BNV1-2.0,system_67,17,104.0,104.0,10,12,300.0
BNV1-1.0,system_67,38,103.0,103.0,10,12,300.0
BNV1-0.5,system_67,75,101.2,101.2,10,12,300.0
BNV2-2.0,system_67,32,99.7,106.0,10,12,300.0
BNV2-4.0,system_67,22,98.9,114.0,10,12,300.0
BNV2-1.0,system_67,45,98.6,103.0,10,12,300.0
AMPL,system_67,0,88.02,0,10,12,300.0
BNV1-4.0,system_68,9,142.0,142.0,10,12,300.0
BNV1-2.0,system_68,17,104.0,104.0,10,12,300.0
BNV1-1.0,system_68,38,103.0,103.0,10,12,300.0
BNV1-0.5,system_68,75,101.2,101.2,10,12,300.0
BNV2-2.0,system_68,32,99.7,106.0,10,12,300.0
BNV2-4.0,system_68,22,98.9,114.0,10,12,300.0
BNV2-1.0,system_68,45,98.6,103.0,10,12,300.0
AMPL,system_68,0,88.02,0,10,12,300.0
BNV1-4.0,system_69,7,126.0,126.0,10,12,300.0
BNV1-2.0,system_69,12,84.0,84.0,10,12,300.0
BNV1-1.0,system_69,21,66.0,66.0,10,12,300.0
BNV1-0.5,system_69,42,65.5,65.5,10,12,300.0
BNV2-2.0,system_69,17,60.9,66.0,10,12,300.0
BNV2-4.0,system_69,14,69.5,86.0,10,12,300.0
BNV2-1.0,system_69,35,61.0,66.0,10,12,300.0
AMPL,system_69,0,52.64,0,10,12,300.0
BNV1-4.0,system_70,14,158.0,158.0,10,12,300.0
BNV1-2.0,system_70,32,122.0,122.0,10,12,300.0
BNV1-1.0,system_70,66,118.0,118.0,10,12,300.0
BNV1-0.5,system_70,134,118.2,118.2,10,12,300.0
BNV2-2.0,system_70,43,114.9,124.0,10,12,300.0
BNV2-4.0,system_70,32,118.5,134.0,10,12,300.0
BNV2-1.0,system_70,78,114.5,120.0,10,12,300.0
AMPL,system_70,0,103.10,0,10,12,300.0
BNV1-4.0,system_71,14,158.0,158.0,10,12,300.0
BNV1-2.0,system_71,32,122.0,122.0,10,12,300.0
BNV1-1.0,system_71,66,118.0,118.0,10,12,300.0
BNV1-0.5,system_71,134,118.2,118.2,10,12,300.0
BNV2-2.0,system_71,43,114.9,124.0,10,12,300.0
BNV2-4.0,system_71,32,118.5,134.0,10,12,300.0
BNV2-1.0,system_71,78,114.5,120.0,10,12,300.0
AMPL,system_71,0,103.10,0,10,12,300.0
BNV1-4.0,system_72,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_72,10,72.0,72.0,10,12,300.0
BNV1-1.0,system_72,20,68.0,68.0,10,12,300.0
BNV1-0.5,system_72,36,66.5,66.5,10,12,300.0
BNV2-2.0,system_72,21,66.2,72.0,10,12,300.0
BNV2-4.0,system_72,10,73.2,86.0,10,12,300.0
BNV2-1.0,system_72,27,64.2,67.0,10,12,300.0
AMPL,system_72,0,58.21,0,10,12,300.0
BNV1-4.0,system_73,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_73,10,72.0,72.0,10,12,300.0
BNV1-1.0,system_73,20,68.0,68.0,10,12,300.0
BNV1-0.5,system_73,36,66.5,66.5,10,12,300.0
BNV2-2.0,system_73,21,66.2,72.0,10,12,300.0
BNV2-4.0,system_73,10,73.2,86.0,10,12,300.0
BNV2-1.0,system_73,27,64.2,67.0,10,12,300.0
AMPL,system_73,0,58.21,0,10,12,300.0
BNV1-4.0,system_74,8,126.0,126.0,10,12,300.0
BNV1-2.0,system_74,17,94.0,94.0,10,12,300.0
BNV1-1.0,system_74,39,88.0,88.0,10,12,300.0
BNV1-0.5,system_74,83,84.0,84.0,10,12,300.0
BNV2-2.0,system_74,24,82.0,88.0,10,12,300.0
BNV2-4.0,system_74,20,86.5,106.0,10,12,300.0
BNV2-1.0,system_74,50,81.5,86.0,10,12,300.0
AMPL,system_74,0,78.11,0,10,12,300.0
BNV1-4.0,system_75,7,110.0,110.0,10,12,300.0
BNV1-2.0,system_75,22,92.0,92.0,10,12,300.0
BNV1-1.0,system_75,44,84.0,84.0,10,12,300.0
BNV1-0.5,system_75,87,82.8,82.8,10,12,300.0
BNV2-2.0,system_75,26,82.9,86.0,10,12,300.0
BNV2-4.0,system_75,15,83.8,94.0,10,12,300.0
BNV2-1.0,system_75,48,79.9,83.0,10,12,300.0
AMPL,system_75,0,68.93,0,10,12,300.0
BNV1-4.0,system_76,7,110.0,110.0,10,12,300.0
BNV1-2.0,system_76,22,92.0,92.0,10,12,300.0
BNV1-1.0,system_76,44,84.0,84.0,10,12,300.0
BNV1-0.5,system_76,87,82.8,82.8,10,12,300.0
BNV2-2.0,system_76,26,82.9,86.0,10,12,300.0
BNV2-4.0,system_76,15,83.8,94.0,10,12,300.0
BNV2-1.0,system_76,48,79.9,83.0,10,12,300.0
AMPL,system_76,0,68.93,0,10,12,300.0
BNV1-4.0,system_77,4,118.0,118.0,10,12,300.0
BNV1-2.0,system_77,16,94.0,94.0,10,12,300.0
BNV1-1.0,system_77,33,93.0,93.0,10,12,300.0
BNV1-0.5,system_77,66,91.8,91.8,10,12,300.0
BNV2-2.0,system_77,22,88.8,94.0,10,12,300.0
BNV2-4.0,system_77,13,95.1,102.0,10,12,300.0
BNV2-1.0,system_77,42,88.5,93.0,10,12,300.0
AMPL,system_77,0,81.92,0,10,12,300.0
BNV1-4.0,system_78,4,118.0,118.0,10,12,300.0
BNV1-2.0,system_78,16,94.0,94.0,10,12,300.0
BNV1-1.0,system_78,33,93.0,93.0,10,12,300.0
BNV1-0.5,system_78,66,91.8,91.8,10,12,300.0
BNV2-2.0,system_78,22,88.8,94.0,10,12,300.0
BNV2-4.0,system_78,13,95.1,102.0,10,12,300.0
BNV2-1.0,system_78,42,88.5,93.0,10,12,300.0
AMPL,system_78,0,81.92,0,10,12,300.0
BNV1-4.0,system_79,4,134.0,134.0,10,12,300.0
BNV1-2.0,system_79,11,104.0,104.0,10,12,300.0
BNV1-1.0,system_79,28,96.0,96.0,10,12,300.0
BNV1-0.5,system_79,55,94.5,94.5,10,12,300.0
BNV2-2.0,system_79,32,91.4,98.0,10,12,300.0
BNV2-4.0,system_79,20,94.4,106.0,10,12,300.0
BNV2-1.0,system_79,43,92.4,96.0,10,12,300.0
AMPL,system_79,0,83.43,0,10,12,300.0
BNV1-4.0,system_80,12,118.0,118.0,10,12,300.0
BNV1-2.0,system_80,24,92.0,92.0,10,12,300.0
BNV1-1.0,system_80,48,87.0,87.0,10,12,300.0
BNV1-0.5,system_80,96,86.2,86.2,10,12,300.0
BNV2-2.0,system_80,27,81.3,88.0,10,12,300.0
BNV2-4.0,system_80,15,88.5,102.0,10,12,300.0
BNV2-1.0,system_80,53,83.0,86.0,10,12,300.0
AMPL,system_80,0,77.63,0,10,12,300.0
BNV1-4.0,system_81,4,126.0,126.0,10,12,300.0
BNV1-2.0,system_81,9,80.0,80.0,10,12,300.0
BNV1-1.0,system_81,27,68.0,68.0,10,12,300.0
BNV1-0.5,system_81,54,66.0,66.0,10,12,300.0
BNV2-2.0,system_81,15,64.0,68.0,10,12,300.0
BNV2-4.0,system_81,8,71.3,86.0,10,12,300.0
BNV2-1.0,system_81,33,66.9,69.0,10,12,300.0
AMPL,system_81,0,56.05,0,10,12,300.0
BNV1-4.0,system_82,4,126.0,126.0,10,12,300.0
BNV1-2.0,system_82,9,80.0,80.0,10,12,300.0
BNV1-1.0,system_82,27,68.0,68.0,10,12,300.0
BNV1-0.5,system_82,54,66.0,66.0,10,12,300.0
BNV2-2.0,system_82,15,64.0,68.0,10,12,300.0
BNV2-4.0,system_82,8,71.3,86.0,10,12,300.0
BNV2-1.0,system_82,33,66.9,69.0,10,12,300.0
AMPL,system_82,0,56.05,0,10,12,300.0
BNV1-4.0,system_83,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_83,13,90.0,90.0,10,12,300.0
BNV1-1.0,system_83,32,89.0,89.0,10,12,300.0
BNV1-0.5,system_83,64,88.4,88.4,10,12,300.0
BNV2-2.0,system_83,17,87.0,90.0,10,12,300.0
BNV2-4.0,system_83,11,87.4,98.0,10,12,300.0
BNV2-1.0,system_83,34,87.5,89.0,10,12,300.0
AMPL,system_83,0,79.50,0,10,12,300.0
BNV1-4.0,system_84,5,110.0,110.0,10,12,300.0
BNV1-2.0,system_84,9,72.0,72.0,10,12,300.0
BNV1-1.0,system_84,19,61.0,61.0,10,12,300.0
BNV1-0.5,system_84,36,60.0,60.0,10,12,300.0
BNV2-2.0,system_84,12,57.5,60.0,10,12,300.0
BNV2-4.0,system_84,14,65.1,86.0,10,12,300.0
BNV2-1.0,system_84,25,58.3,61.0,10,12,300.0
AMPL,system_84,0,52.89,0,10,12,300.0
BNV1-4.0,system_85,5,110.0,110.0,10,12,300.0
BNV1-2.0,system_85,9,72.0,72.0,10,12,300.0
BNV1-1.0,system_85,19,61.0,61.0,10,12,300.0
BNV1-0.5,system_85,36,60.0,60.0,10,12,300.0
BNV2-2.0,system_85,12,57.5,60.0,10,12,300.0
BNV2-4.0,system_85,14,65.1,86.0,10,12,300.0
BNV2-1.0,system_85,25,58.3,61.0,10,12,300.0
AMPL,system_85,0,52.89,0,10,12,300.0
BNV1-4.0,system_86,11,146.0,146.0,10,12,300.0
BNV1-2.0,system_86,28,116.0,116.0,10,12,300.0
BNV1-1.0,system_86,65,109.0,109.0,10,12,300.0
BNV1-0.5,system_86,140,109.5,109.5,10,12,300.0
BNV2-2.0,system_86,41,106.0,110.0,10,12,300.0
BNV2-4.0,system_86,28,106.7,122.0,10,12,300.0
BNV2-1.0,system_86,79,105.7,110.0,10,12,300.0
AMPL,system_86,0,96.29,0,10,12,300.0
BNV1-4.0,system_87,5,118.0,118.0,10,12,300.0
BNV1-2.0,system_87,14,92.0,92.0,10,12,300.0
BNV1-1.0,system_87,35,90.0,90.0,10,12,300.0
BNV1-0.5,system_87,70,88.7,88.7,10,12,300.0
BNV2-2.0,system_87,20,88.0,90.0,10,12,300.0
BNV2-4.0,system_87,14,90.4,102.0,10,12,300.0
BNV2-1.0,system_87,40,88.0,90.0,10,12,300.0
AMPL,system_87,0,79.65,0,10,12,300.0
BNV1-4.0,system_88,5,118.0,118.0,10,12,300.0
BNV1-2.0,system_88,14,92.0,92.0,10,12,300.0
BNV1-1.0,system_88,35,90.0,90.0,10,12,300.0
BNV1-0.5,system_88,70,88.7,88.7,10,12,300.0
BNV2-2.0,system_88,20,88.0,90.0,10,12,300.0
BNV2-4.0,system_88,14,90.4,102.0,10,12,300.0
BNV2-1.0,system_88,40,88.0,90.0,10,12,300.0
AMPL,system_88,0,79.65,0,10,12,300.0
BNV1-4.0,system_89,5,110.0,110.0,10,12,300.0
BNV1-2.0,system_89,4,66.0,66.0,10,12,300.0
BNV1-1.0,system_89,17,62.0,62.0,10,12,300.0
BNV1-0.5,system_89,43,63.0,63.0,10,12,300.0
BNV2-2.0,system_89,14,59.0,62.0,10,12,300.0
BNV2-4.0,system_89,11,66.6,78.0,10,12,300.0
BNV2-1.0,system_89,27,58.5,62.0,10,12,300.0
AMPL,system_89,0,52.62,0,10,12,300.0
BNV1-4.0,system_90,5,106.0,106.0,10,12,300.0
BNV1-2.0,system_90,12,74.0,74.0,10,12,300.0
BNV1-1.0,system_90,28,65.0,65.0,10,12,300.0
BNV1-0.5,system_90,57,61.5,61.5,10,12,300.0
BNV2-2.0,system_90,18,62.9,66.0,10,12,300.0
BNV2-4.0,system_90,12,73.7,86.0,10,12,300.0
BNV2-1.0,system_90,29,63.0,63.0,10,12,300.0
AMPL,system_90,0,57.13,0,10,12,300.0
BNV1-4.0,system_91,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_91,5,68.0,68.0,10,12,300.0
BNV1-1.0,system_91,11,59.0,59.0,10,12,300.0
BNV1-0.5,system_91,25,57.5,57.5,10,12,300.0
BNV2-2.0,system_91,10,55.5,60.0,10,12,300.0
BNV2-4.0,system_91,8,60.3,74.0,10,12,300.0
BNV2-1.0,system_91,16,55.3,57.0,10,12,300.0
AMPL,system_91,0,52.84,0,10,12,300.0
BNV1-4.0,system_92,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_92,5,68.0,68.0,10,12,300.0
BNV1-1.0,system_92,11,59.0,59.0,10,12,300.0
BNV1-0.5,system_92,25,57.5,57.5,10,12,300.0
BNV2-2.0,system_92,10,55.5,60.0,10,12,300.0
BNV2-4.0,system_92,8,60.3,74.0,10,12,300.0
BNV2-1.0,system_92,16,55.3,57.0,10,12,300.0
AMPL,system_92,0,52.84,0,10,12,300.0
BNV1-4.0,system_93,10,134.0,134.0,10,12,300.0
BNV1-2.0,system_93,31,132.0,132.0,10,12,300.0
BNV1-1.0,system_93,63,130.0,130.0,10,12,300.0
BNV1-0.5,system_93,123,127.7,127.7,10,12,300.0
BNV2-2.0,system_93,38,127.5,130.0,10,12,300.0
BNV2-4.0,system_93,17,128.0,130.0,10,12,300.0
BNV2-1.0,system_93,75,126.5,129.0,10,12,300.0
AMPL,system_93,0,108.25,0,10,12,300.0
BNV1-4.0,system_94,20,166.0,166.0,10,12,300.0
BNV1-2.0,system_94,46,150.0,150.0,10,12,300.0
BNV1-1.0,system_94,96,152.0,152.0,10,12,300.0
BNV1-0.5,system_94,194,150.0,150.0,10,12,300.0
BNV2-2.0,system_94,57,142.3,150.0,10,12,300.0
BNV2-4.0,system_94,42,139.8,154.0,10,12,300.0
BNV2-1.0,system_94,111,144.7,150.0,10,12,300.0
AMPL,system_94,0,122.19,0,10,12,300.0
BNV1-4.0,system_95,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_95,11,68.0,68.0,10,12,300.0
BNV1-1.0,system_95,22,61.0,61.0,10,12,300.0
BNV1-0.5,system_95,45,58.6,58.6,10,12,300.0
BNV2-2.0,system_95,15,58.5,64.0,10,12,300.0
BNV2-4.0,system_95,12,61.5,78.0,10,12,300.0
BNV2-1.0,system_95,30,54.8,59.0,10,12,300.0
AMPL,system_95,0,51.94,0,10,12,300.0
BNV1-4.0,system_96,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_96,11,68.0,68.0,10,12,300.0
BNV1-1.0,system_96,22,61.0,61.0,10,12,300.0
BNV1-0.5,system_96,45,58.6,58.6,10,12,300.0
BNV2-2.0,system_96,15,58.5,64.0,10,12,300.0
BNV2-4.0,system_96,12,61.5,78.0,10,12,300.0
BNV2-1.0,system_96,30,54.8,59.0,10,12,300.0
AMPL,system_96,0,51.94,0,10,12,300.0
BNV1-4.0,system_97,4,102.0,102.0,10,12,300.0
BNV1-2.0,system_97,10,76.0,76.0,10,12,300.0
BNV1-1.0,system_97,27,72.0,72.0,10,12,300.0
BNV1-0.5,system_97,54,71.8,71.8,10,12,300.0
BNV2-2.0,system_97,19,70.5,78.0,10,12,300.0
BNV2-4.0,system_97,12,67.1,86.0,10,12,300.0
BNV2-1.0,system_97,32,69.7,73.0,10,12,300.0
AMPL,system_97,0,59.91,0,10,12,300.0
BNV1-4.0,system_98,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_98,14,94.0,94.0,10,12,300.0
BNV1-1.0,system_98,41,93.0,93.0,10,12,300.0
BNV1-0.5,system_98,95,95.6,95.6,10,12,300.0
BNV2-2.0,system_98,29,88.6,96.0,10,12,300.0
BNV2-4.0,system_98,21,92.0,102.0,10,12,300.0
BNV2-1.0,system_98,64,90.1,96.0,10,12,300.0
AMPL,system_98,0,78.59,0,10,12,300.0
BNV1-4.0,system_99,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_99,14,94.0,94.0,10,12,300.0
BNV1-1.0,system_99,41,93.0,93.0,10,12,300.0
BNV1-0.5,system_99,95,95.6,95.6,10,12,300.0
BNV2-2.0,system_99,29,88.6,96.0,10,12,300.0
BNV2-4.0,system_99,21,92.0,102.0,10,12,300.0
BNV2-1.0,system_99,64,90.1,96.0,10,12,300.0
AMPL,system_99,0,78.59,0,10,12,300.0
BNV1-4.0,system_100,38,238.0,238.0,10,12,300.0
BNV1-2.0,system_100,77,212.0,212.0,10,12,300.0
BNV1-1.0,system_100,153,209.0,209.0,10,12,300.0
BNV1-0.5,system_100,309,209.1,209.1,10,12,300.0
BNV2-2.0,system_100,84,201.2,210.0,10,12,300.0
BNV2-4.0,system_100,59,203.3,218.0,10,12,300.0
BNV2-1.0,system_100,170,201.1,209.0,10,12,300.0
AMPL,system_100,0,172.76,0,10,12,300.0
BNV1-4.0,system_101,6,292.0,292.0,20,30,500.0
BNV1-2.0,system_101,14,200.0,200.0,20,30,500.0
BNV1-1.0,system_101,37,183.0,183.0,20,30,500.0
BNV1-0.5,system_101,79,182.9,182.9,20,30,500.0
BNV2-2.0,system_101,29,175.7,190.0,20,30,500.0
BNV2-4.0,system_101,21,176.8,208.0,20,30,500.0
BNV2-1.0,system_101,50,176.5,185.0,20,30,500.0
AMPL,system_101,0,162.31,0,20,30,500.0
BNV1-4.0,system_102,12,304.0,304.0,20,30,500.0
BNV1-2.0,system_102,27,268.0,268.0,20,30,500.0
BNV1-1.0,system_102,57,265.0,265.0,20,30,500.0
BNV1-0.5,system_102,117,263.5,263.5,20,30,500.0
BNV2-2.0,system_102,32,256.8,262.0,20,30,500.0
BNV2-4.0,system_102,27,257.0,276.0,20,30,500.0
BNV2-1.0,system_102,66,258.2,264.0,20,30,500.0
AMPL,system_102,0,213.76,0,20,30,500.0
BNV1-4.0,system_103,19,328.0,328.0,20,30,500.0
BNV1-2.0,system_103,56,318.0,318.0,20,30,500.0
BNV1-1.0,system_103,122,318.0,318.0,20,30,500.0
BNV1-0.5,system_103,241,314.3,314.3,20,30,500.0
BNV2-2.0,system_103,74,298.2,318.0,20,30,500.0
BNV2-4.0,system_103,42,294.7,320.0,20,30,500.0
BNV2-1.0,system_103,140,302.6,316.0,20,30,500.0
AMPL,system_103,0,268.51,0,20,30,500.0
BNV1-4.0,system_104,13,340.0,340.0,20,30,500.0
BNV1-2.0,system_104,29,326.0,326.0,20,30,500.0
BNV1-1.0,system_104,60,324.0,324.0,20,30,500.0
BNV1-0.5,system_104,119,323.2,323.2,20,30,500.0
BNV2-2.0,system_104,52,311.4,322.0,20,30,500.0
BNV2-4.0,system_104,28,320.7,340.0,20,30,500.0
BNV2-1.0,system_104,94,313.0,325.0,20,30,500.0
AMPL,system_104,0,288.30,0,20,30,500.0
BNV1-4.0,system_105,47,516.0,516.0,20,30,500.0
BNV1-2.0,system_105,93,460.0,460.0,20,30,500.0
BNV1-1.0,system_105,186,450.0,450.0,20,30,500.0
BNV1-0.5,system_105,369,447.5,447.5,20,30,500.0
BNV2-2.0,system_105,121,430.4,450.0,20,30,500.0
BNV2-4.0,system_105,77,433.7,456.0,20,30,500.0
BNV2-1.0,system_105,226,431.2,450.0,20,30,500.0
AMPL,system_105,0,405.19,0,20,30,500.0
BNV1-4.0,system_106,45,448.0,448.0,20,30,500.0
BNV1-2.0,system_106,94,428.0,428.0,20,30,500.0
BNV1-1.0,system_106,187,423.0,423.0,20,30,500.0
BNV1-0.5,system_106,375,421.3,421.3,20,30,500.0
BNV2-2.0,system_106,135,401.4,422.0,20,30,500.0
BNV2-4.0,system_106,77,400.6,428.0,20,30,500.0
BNV2-1.0,system_106,242,400.0,423.0,20,30,500.0
AMPL,system_106,0,364.11,0,20,30,500.0
BNV1-4.0,system_107,8,284.0,284.0,20,30,500.0
BNV1-2.0,system_107,22,254.0,254.0,20,30,500.0
BNV1-1.0,system_107,44,246.0,246.0,20,30,500.0
BNV1-0.5,system_107,92,244.8,244.8,20,30,500.0
BNV2-2.0,system_107,30,233.2,246.0,20,30,500.0
BNV2-4.0,system_107,18,233.1,252.0,20,30,500.0
BNV2-1.0,system_107,61,231.0,245.0,20,30,500.0
AMPL,system_107,0,207.34,0,20,30,500.0
BNV1-4.0,system_108,8,284.0,284.0,20,30,500.0
BNV1-2.0,system_108,22,254.0,254.0,20,30,500.0
BNV1-1.0,system_108,44,246.0,246.0,20,30,500.0
BNV1-0.5,system_108,92,244.8,244.8,20,30,500.0
BNV2-2.0,system_108,30,233.2,246.0,20,30,500.0
BNV2-4.0,system_108,18,233.1,252.0,20,30,500.0
BNV2-1.0,system_108,61,231.0,245.0,20,30,500.0
AMPL,system_108,0,207.34,0,20,30,500.0
BNV1-4.0,system_109,8,280.0,280.0,20,30,500.0
BNV1-2.0,system_109,20,222.0,222.0,20,30,500.0
BNV1-1.0,system_109,42,211.0,211.0,20,30,500.0
BNV1-0.5,system_109,86,210.8,210.8,20,30,500.0
BNV2-2.0,system_109,31,196.0,212.0,20,30,500.0
BNV2-4.0,system_109,23,196.5,228.0,20,30,500.0
BNV2-1.0,system_109,58,197.1,211.0,20,30,500.0
AMPL,system_109,0,177.85,0,20,30,500.0
BNV1-4.0,system_110,5,272.0,272.0,20,30,500.0
BNV1-2.0,system_110,14,198.0,198.0,20,30,500.0
BNV1-1.0,system_110,43,186.0,186.0,20,30,500.0
BNV1-0.5,system_110,87,182.8,182.8,20,30,500.0
BNV2-2.0,system_110,33,180.4,190.0,20,30,500.0
BNV2-4.0,system_110,22,188.6,220.0,20,30,500.0
BNV2-1.0,system_110,53,179.2,185.0,20,30,500.0
AMPL,system_110,0,169.95,0,20,30,500.0
BNV1-4.0,system_111,10,308.0,308.0,20,30,500.0
BNV1-2.0,system_111,25,290.0,290.0,20,30,500.0
BNV1-1.0,system_111,51,286.0,286.0,20,30,500.0
BNV1-0.5,system_111,103,284.6,284.6,20,30,500.0
BNV2-2.0,system_111,42,271.5,282.0,20,30,500.0
BNV2-4.0,system_111,20,277.7,292.0,20,30,500.0
BNV2-1.0,system_111,73,276.8,286.0,20,30,500.0
AMPL,system_111,0,242.10,0,20,30,500.0
BNV1-4.0,system_112,8,292.0,292.0,20,30,500.0
BNV1-2.0,system_112,26,216.0,216.0,20,30,500.0
BNV1-1.0,system_112,61,206.0,206.0,20,30,500.0
BNV1-0.5,system_112,123,210.2,210.2,20,30,500.0
BNV2-2.0,system_112,39,206.7,216.0,20,30,500.0
BNV2-4.0,system_112,30,202.3,228.0,20,30,500.0
BNV2-1.0,system_112,76,201.9,208.0,20,30,500.0
AMPL,system_112,0,182.13,0,20,30,500.0
BNV1-4.0,system_113,8,328.0,328.0,20,30,500.0
BNV1-2.0,system_113,22,284.0,284.0,20,30,500.0
BNV1-1.0,system_113,49,280.0,280.0,20,30,500.0
BNV1-0.5,system_113,101,280.0,280.0,20,30,500.0
BNV2-2.0,system_113,36,271.6,282.0,20,30,500.0
BNV2-4.0,system_113,27,274.3,300.0,20,30,500.0
BNV2-1.0,system_113,61,269.8,281.0,20,30,500.0
AMPL,system_113,0,247.08,0,20,30,500.0
BNV1-4.0,system_114,10,296.0,296.0,20,30,500.0
BNV1-2.0,system_114,19,236.0,236.0,20,30,500.0
BNV1-1.0,system_114,44,232.0,232.0,20,30,500.0
BNV1-0.5,system_114,85,231.5,231.5,20,30,500.0
BNV2-2.0,system_114,26,223.2,234.0,20,30,500.0
BNV2-4.0,system_114,18,220.8,252.0,20,30,500.0
BNV2-1.0,system_114,57,222.9,234.0,20,30,500.0
AMPL,system_114,0,196.45,0,20,30,500.0
BNV1-4.0,system_115,19,288.0,288.0,20,30,500.0
BNV1-2.0,system_115,39,240.0,240.0,20,30,500.0
BNV1-1.0,system_115,79,217.0,217.0,20,30,500.0
